Backlog ID,Method Code,Short Code,Canonical Name,Reference Label,Category Code,Category,Family Name,Class,Phase,Priority,Evidence Grade,Definition / What to try,Mechanism,Expected Direction,Failure Mode,Minimum Viable Experiment,Primary Metrics,Source IDs,Status
H001,SEM-001,SCC,Semantic Compression Captions,SEM-001 / SCC — Semantic Compression Captions,SEM,Semantic / Compression,Semantic Compression,Method,Pilot first,P0,Strong adjacent,Rewrite spoken sentences into shortest meaning-preserving phrases.,Reduces verbal load while preserving gist.,Better gist/action recall than full transcript overlays.,Over-compression makes captions cryptic.,Full transcript vs semantic compression on same clip.,Gist recall; action recall; perceived effort,S06; S07; S09; S10; S27,Backlog
H002,SEM-002,PEO,Proposition Extraction Overlay,SEM-002 / PEO — Proposition Extraction Overlay,SEM,Semantic / Compression,Semantic Compression,Method,Pilot first,P0,Moderate adjacent,Show the underlying claim rather than the literal words.,Lets viewer process mental model instead of syntax.,"Higher main-point recall, especially muted.",May distort nuance if proposition is wrong.,Human-coded propositions vs transcript overlay.,Main point accuracy; distortion errors,S06; S07; S09; S10; S27,Backlog
H003,SEM-003,OFC,Operator-First Captioning,SEM-003 / OFC — Operator-First Captioning,SEM,Semantic / Compression,Semantic Compression,Method,Pilot first,P0,Moderate adjacent,"Begin overlay with logical operator: Not, Stop, Less, First, Then.",Reveals relation before content; supports phrase structure.,Better contrast recall than keyword-only captions.,Too many operators feel formulaic.,Keyword-only vs Not-X/Y microphrases.,Contrast recall; completion rate,S06; S07; S09; S10; S27,Backlog
H004,SEM-004,CPC,Contrast Pair Cards,SEM-004 / CPC — Contrast Pair Cards,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,"Use two-line contrasts: Not X / Y, Stop X / Start Y.",Uses binary structure to reduce interpretation cost.,Strong for myth-busting and advice content.,Can oversimplify complex claims.,Contrast pair vs normal sentence.,Gist recall; save rate,S06; S07; S09; S10; S27,Backlog
H005,SEM-005,PCFB,Problem–Cause–Fix Beat Cards,SEM-005 / PCFB — Problem–Cause–Fix Beat Cards,SEM,Semantic / Compression,Semantic Compression,Method,Pilot first,P0,Strong adjacent,"Display three labels across the clip: Problem, Cause, Fix.",Externalizes structure and reduces working-memory demand.,Better action recall for educational clips.,Can feel like a slide deck if overused.,Same explainer with/without beat labels.,Action recall; perceived structure,S06; S07; S09; S10; S27,Backlog
H006,SEM-006,REN,Rule–Example–Nonexample Captions,SEM-006 / REN — Rule–Example–Nonexample Captions,SEM,Semantic / Compression,Semantic Compression,Rule / Mode,Explore later,P2,Moderate adjacent,"Show a rule, a good example, then a wrong example.",Creates classification boundaries.,Better transfer to new examples.,Too slow for very short clips.,Learning clip with rule-only vs rule-example-nonexample.,Transfer question; completion,S06; S07; S09; S10; S27,Backlog
H007,SEM-007,CEP,Claim–Evidence–Payoff Overlay,SEM-007 / CEP — Claim–Evidence–Payoff Overlay,SEM,Semantic / Compression,Semantic Compression,Method,Explore later,P2,Moderate adjacent,"Label claim, proof, and takeaway as separate beats.",Helps viewers trust and encode the argument.,Higher credibility and save rate.,May reduce emotional flow.,Advice clip with claim/payoff labels vs no labels.,Credibility rating; saves,S06; S07; S09; S10; S27,Backlog
H008,SEM-008,TFO,Takeaway-First Overlay,SEM-008 / TFO — Takeaway-First Overlay,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,"Show the final point in the first second, then explain.",Reduces uncertainty and raises reward prediction.,Better 3-second hold for educational clips.,May spoil suspense or jokes.,Hook-first vs takeaway-first variants.,1s/3s hold; completion,S06; S07; S09; S10; S27,Backlog
H009,SEM-009,AOO,Action-Only Overlay,SEM-009 / AOO — Action-Only Overlay,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,"For advice clips, show only the next action, not explanation.",Turns passive consumption into instruction.,Higher action recall and saves.,Weak context if viewer misses why.,Action-only vs explanation captions.,Action recall; saves,S06; S07; S09; S10; S27,Backlog
H010,SEM-010,MOC,Memory Object Captions,SEM-010 / MOC — Memory Object Captions,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,"End with a short, repeatable phrase: Systems beat mood.",Creates a verbal chunk for later recall.,Higher delayed recall.,Can become cliché or inaccurate.,With/without end memory phrase.,Delayed recall; shares,S06; S07; S09; S10; S27,Backlog
H011,SEM-011,MVC,Minimal Verb Captioning,SEM-011 / MVC — Minimal Verb Captioning,SEM,Semantic / Compression,Semantic Compression,Method,Explore later,P2,Speculative / direct test needed,Preserve verbs over nouns when showing fewer words.,Actions drive what to do next.,Better instruction recall.,May lose conceptual nuance.,Verb-heavy vs noun-heavy compression.,Action recall,S06; S07; S09; S10; S27,Backlog
H012,SEM-012,SBT,Semantic Breadcrumb Trail,SEM-012 / SBT — Semantic Breadcrumb Trail,SEM,Semantic / Compression,Semantic Compression,Method,Explore later,P2,Moderate adjacent,Display one small concept per beat that accumulates meaning.,Supports continuity without sentence blocks.,Better follow-through in 45–90s clips.,Too many breadcrumbs distract.,Breadcrumb vs independent captions.,Sequence recall; effort rating,S06; S07; S09; S10; S27,Backlog
H013,SEM-013,CLC,Concept Ladder Captions,SEM-013 / CLC — Concept Ladder Captions,SEM,Semantic / Compression,Semantic Compression,Method,Explore later,P2,Moderate adjacent,Move from concrete to abstract: shoes → start → habit.,Builds schema progressively.,Better novice comprehension.,Experts may find it slow.,Beginner viewers: ladder vs direct concept.,Novice gist recall,S06; S07; S09; S10; S27,Backlog
H014,SEM-014,CRL,Compression Ratio Ladder,SEM-014 / CRL — Compression Ratio Ladder,SEM,Semantic / Compression,Semantic Compression,Method,Pilot first,P0,Strong adjacent,"Test 100%, 60%, 30%, 15%, and 5% transcript equivalents.",Finds minimum viable text.,Identifies optimal text density by content type.,Too low loses context; too high overloads.,Same clip at multiple compression ratios.,Gist recall; text dwell; effort,S06; S07; S09; S10; S27,Backlog
H015,SEM-015,KMC,Keyword-to-Microphrase Conversion,SEM-015 / KMC — Keyword-to-Microphrase Conversion,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,Convert isolated keywords into 2–4 word phrase chunks.,Keeps syntax while staying sparse.,Better than keyword-only overlays.,Slightly more text may hurt visual recall.,Keywords vs microphrases.,Gist recall; visual recall,S06; S07; S09; S10; S27,Backlog
H016,SEM-016,OIOS,"One Idea, One Screen Rule","SEM-016 / OIOS — One Idea, One Screen Rule",SEM,Semantic / Compression,Semantic Compression,Rule / Mode,Pilot first,P0,Strong adjacent,Never show two unrelated ideas in one overlay event.,Respects working-memory limits.,Lower effort and better sequence recall.,Too many rapid swaps if script is dense.,Multi-idea vs one-idea overlay.,Effort; sequence recall,S06; S07; S09; S10; S27,Backlog
H017,SEM-017,GET,Gist vs Exact Mode Toggle,SEM-017 / GET — Gist vs Exact Mode Toggle,SEM,Semantic / Compression,Semantic Compression,Rule / Mode,Pilot first,P0,Strong adjacent,"Use gist overlay for retention, closed captions for exact speech.",Separates creative and accessibility functions.,Better overall satisfaction with accessibility preserved.,Requires platform support or extra production effort.,Full captions plus gist overlay vs overlay alone.,Preference; comprehension; access rating,S01; S05; S09; S10,Backlog
H018,SEM-018,AFC,Anti-Filler Captioning,SEM-018 / AFC — Anti-Filler Captioning,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,"Remove basically, actually, kind of, really, and redundant phrases.",Reduces visual noise.,Improved perceived clarity.,Overediting may alter speaker voice.,Auto-filler removal vs verbatim.,Effort; clarity rating,S06; S07; S09; S10; S27,Backlog
H019,SEM-019,CT,Certainty Tags,SEM-019 / CT — Certainty Tags,SEM,Semantic / Compression,Semantic Compression,Method,Explore later,P2,Speculative / direct test needed,"Mark claims as Rule, Hypothesis, Example, Warning, Tested.",Prevents overclaiming and adds epistemic clarity.,Higher trust and lower misinterpretation.,May feel academic or slow.,Claims with/without certainty tags.,Trust rating; misunderstanding rate,S06; S07; S09; S10; S27,Backlog
H020,SEM-020,QTA,Question-to-Answer Captions,SEM-020 / QTA — Question-to-Answer Captions,SEM,Semantic / Compression,Semantic Compression,Method,Pilot second,P1,Moderate adjacent,"Open with a concise question, answer one beat later.",Uses prediction and curiosity without clickbait.,Higher retention if payoff is fast.,Can feel manipulative if delayed.,Question-answer vs statement overlay.,3s hold; completion; trust,S06; S07; S09; S10; S27,Backlog
H021,TYP-001,BCA,Bionic Concept Anchors,TYP-001 / BCA — Bionic Concept Anchors,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot first,P0,Weak / contested,Partially bold only key concept words after compression.,Tests whether partial-word anchors add anything after compression.,Small boost to recall or subjective clarity.,May add noise; bionic evidence weak.,Semantic compression vs BCC.,Gist recall; fixation count; preference,S08; S22; S23,Backlog
H022,TYP-002,FOA,Full-Word Operator Anchors,TYP-002 / FOA — Full-Word Operator Anchors,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot first,P0,Moderate adjacent,"Bold full operator words: Not, Stop, First, Less.",Makes logical relation visible instantly.,Better contrast recall.,Overuse reduces salience.,Operator-bold vs no bold.,Contrast recall; fixation latency,S08; S09; S27; S28,Backlog
H023,TYP-003,SKH,Sparse Keyword Highlight,TYP-003 / SKH — Sparse Keyword Highlight,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot first,P0,Strong adjacent,Highlight only 5–15% of displayed words.,Reduces search cost without turning everything salient.,Lower perceived effort.,Wrong keyword selection misguides attention.,Sparse vs dense highlight.,Effort; recall; gaze distribution,S08; S09,Backlog
H024,TYP-004,NM,Number Magnets,TYP-004 / NM — Number Magnets,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot second,P1,Moderate adjacent,"Use distinct emphasis for numbers, percentages, steps, dates.",Numbers create decision hooks and are easy to remember.,Better exact recall for quantitative claims.,May create false precision bias.,Number-emphasis vs normal text.,Number recall; trust rating,S09; S28,Backlog
H025,TYP-005,SLB,Semantic Line Breaks,TYP-005 / SLB — Semantic Line Breaks,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot second,P1,Strong adjacent,"Break lines by meaning, not by width alone.",Line breaks become parsing cues.,Better readability and lower effort.,Poor breaks hurt grammar comprehension.,Natural vs arbitrary line breaks.,Effort; reading completion,S02; S04; S09,Backlog
H026,TYP-006,DWC,Dual-Weight Captions,TYP-006 / DWC — Dual-Weight Captions,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot second,P1,Moderate adjacent,"Normal weight for context, bold for decision word.",Creates hierarchy without color dependence.,Better scan speed and accessibility.,Too subtle on small screens.,Dual weight vs uniform weight.,First fixation to keyword; recall,S08; S28,Backlog
H027,TYP-007,AOD,Accent Only on Delta,TYP-007 / AOD — Accent Only on Delta,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Speculative / direct test needed,Highlight only what changes from old belief to new belief.,Maximizes semantic contrast.,Better reframe recall.,Requires accurate detection of old/new model.,Full highlight vs delta-only highlight.,Contrast recall,S08; S09; S22; S23; S28,Backlog
H028,TYP-008,DEF,De-Emphasis Fades,TYP-008 / DEF — De-Emphasis Fades,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Speculative / direct test needed,Dull background words and keep key terms high opacity.,Guides attention while preserving context.,May lower reading load.,Low opacity may fail contrast/accessibility.,Opacity fade vs bold highlight.,Recall; contrast compliance,S08; S28,Backlog
H029,TYP-009,CBU,Contrast Block Underlay,TYP-009 / CBU — Contrast Block Underlay,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot second,P1,Strong adjacent,Place text on a stable capsule/plate over busy video.,Reduces crowding and background interference.,Higher readability in busy scenes.,May obscure visual content or look heavy.,Plate vs no plate on busy backgrounds.,Readability; visual recall,S15; S28,Backlog
H030,TYP-010,SOF,Stroke/Outline Fallback,TYP-010 / SOF — Stroke/Outline Fallback,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot second,P1,Moderate adjacent,Use outline/shadow only when background contrast is unstable.,Maintains readability across frames.,Lower missed captions.,Can look noisy if too thick.,Outline vs capsule vs none.,Readability; aesthetic rating,S28; S15,Backlog
H031,TYP-011,SCC2,Semantic Color Coding,TYP-011 / SCC2 — Semantic Color Coding,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Moderate adjacent,"Assign stable colors to roles: problem, cause, fix.",Preattentive role recognition.,Better sequence recall.,Color alone is inaccessible; must pair with label/shape.,Role color+label vs label only.,Sequence recall; accessibility rating,S09; S28,Backlog
H032,TYP-012,SCST,Shape-Coded Status Tokens,TYP-012 / SCST — Shape-Coded Status Tokens,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Moderate adjacent,"Use small shapes/icons for warning, rule, action, proof.",Adds non-color semantic cue.,Faster role recognition.,Icons may distract or seem childish.,Icon+text vs text-only.,Role recognition time; preference,S09; S28,Backlog
H033,TYP-013,TTT,Typeface Trust Test,TYP-013 / TTT — Typeface Trust Test,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Speculative / direct test needed,"Compare clean sans, condensed bold, handwritten, meme style.",Typography may affect credibility and platform-native feel.,Different winning fonts by content type.,Aesthetic preference may mask comprehension.,Font variants with same text.,Trust; retention; recall,S21; S28,Backlog
H034,TYP-014,VWAR,Variable Weight Attention Ramp,TYP-014 / VWAR — Variable Weight Attention Ramp,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P3,Speculative / direct test needed,Gradually increase weight on words as they become relevant.,Smooth cueing instead of sudden pop.,Better perceived smoothness.,Animation could distract.,Static bold vs weight ramp.,Smoothness; recall; gaze,S19; S28,Backlog
H035,TYP-015,CR,Capitalization Rhythm,TYP-015 / CR — Capitalization Rhythm,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Moderate adjacent,"Use case intentionally: title case for labels, sentence case for ideas.",Improves scan hierarchy.,Lower effort.,All-caps may reduce readability and feel shouty.,Case variants.,Effort; retention,S21; S28,Backlog
H036,TYP-016,PAT,Punctuation as Timing Cue,TYP-016 / PAT — Punctuation as Timing Cue,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Moderate adjacent,"Use periods, arrows, colons, and line breaks as rhythm markers.",Supports phrase parsing and temporal expectation.,Better phrase comprehension.,"TikTok-native styles may omit punctuation, conflicting with clarity.",Punctuated vs non-punctuated versions.,Comprehension; engagement,S21; S27,Backlog
H037,TYP-017,IWP,Icon+Word Pairing,TYP-017 / IWP — Icon+Word Pairing,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Explore later,P2,Moderate adjacent,"Pair a simple icon with a concept word: friction, trigger, proof.",Dual coding may aid memory if not decorative.,Improved delayed recall.,Icon mismatch confuses.,Word-only vs icon+word.,Delayed recall; confusion,S09; S10,Backlog
H038,TYP-018,BDG,Bionic Density Gradient,TYP-018 / BDG — Bionic Density Gradient,TYP,Typography / Anchors,Typography and Anchors,Anchor / Typography Component,Pilot first,P0,Weak / contested,"Test no bionic, one word bionic, all concepts bionic, all words bionic.",Find safe bionic dose.,Sparse bionic may win; heavy loses.,"If no effect, drop bionic component.",Dose-response bionic experiment.,Recall; saccades; effort,S22; S23,Backlog
