id,title,authors,year,url,claim_supported,key_result,evidence_type
muchnik_2013_social_influence,Social influence bias: a randomized experiment,"Lev Muchnik, Sinan Aral, Sean J. Taylor",2013,https://pubmed.ncbi.nlm.nih.gov/23929980/,Artificial initial positive social feedback can causally increase later positive ratings and final score.,Positive manipulation increased likelihood of positive ratings by 32% and final ratings by 25% on average.,Randomized field experiment
salganik_2006_music_market,Experimental study of inequality and unpredictability in an artificial cultural market,"Matthew J. Salganik, Peter Sheridan Dodds, Duncan J. Watts",2006,https://collaborate.princeton.edu/en/publications/experimental-study-of-inequality-and-unpredictability-in-an-artif/,Visible popularity information increases inequality and unpredictability of success.,Increasing social influence increased inequality and unpredictability; success was only partly determined by quality.,Controlled online experiment
van_de_rijt_2014_success_breeds_success,Field experiments of success-breeds-success dynamics,"Arnout van de Rijt, Soong Moon Kang, Michael Restivo, Akshay Patil",2014,https://pubmed.ncbi.nlm.nih.gov/24778230/,Arbitrarily bestowed early success can cause subsequent success across domains.,"Early success improved subsequent rates of success compared with controls across funding, status, endorsement, and reputation systems.",Randomized field experiments
rogers_righetti_2025_manufactured_attention,Coordinated inauthentic behaviour on Facebook? A typology of manufactured attention,"Richard Rogers, Nicola Righetti",2025,https://journals.sagepub.com/doi/10.1177/29768624251369784,"Timed repeated co-sharing can reveal manufactured attention networks beyond politics, including commercial and scam networks.",Coordination is operationalized as accounts performing the same action together at least r times within a time window t.,Empirical coordination-network analysis
graham_2024_coordination_toolkit,The coordination network toolkit: a framework for detecting and analysing coordinated behaviour on social media,"Timothy Graham, Sam Hames, Elizabeth Alpert",2024,https://link.springer.com/article/10.1007/s42001-024-00260-z,Coordination can be modelled as directed weighted multi-behaviour graphs.,The toolkit builds networks where accounts are connected when they repeatedly perform same or similar actions in a short time window.,Open-source methodological framework
chaney_2018_algorithmic_confounding,How algorithmic confounding in recommendation systems increases homogeneity and decreases utility,"Allison J. B. Chaney, Brandon M. Stewart, Barbara E. Engelhardt",2018,https://bstewart.scholar.princeton.edu/publications/how-algorithmic-confounding-recommendation-systems-increases-homogeneity-and,Recommendation systems trained on behaviour shaped by previous recommendations can create feedback loops.,Simulations demonstrate pernicious feedback loops and homogenization without utility gains.,Simulation / recommender-systems research
klimashevskaia_2024_popularity_bias,A survey on popularity bias in recommender systems,Anastasiia Klimashevskaia et al.,2024,https://link.springer.com/article/10.1007/s11257-024-09406-0,Many recommender systems exhibit popularity bias.,Survey finds today’s recommendation algorithms often focus on already-popular items.,Survey
zoralioglu_2026_dynamic_feedback,Dynamic feedback loops in recommender systems,"Yildiz Zoralioglu, Emre Yalcin",2026,https://link.springer.com/article/10.1007/s10844-026-01025-y,"Iterative feedback can magnify popularity bias, reduce diversity, and misalign systems over time.",Dynamic feedback loops progressively reinforce popularity bias and reduce diversity/personalization across groups.,Empirical evaluation with dynamic feedback-loop framework
akesson_2023_fake_reviews,The Impact of Fake Reviews on Demand and Welfare,"Jesper Akesson, Robert W. Hahn, Robert D. Metcalfe, Manuel Monti-Nussbaum",2023,https://www.nber.org/papers/w31836,Positive fake reviews can cause consumers to choose lower-quality products and reduce welfare.,"Experiment with 10,000 UK participants; welfare losses estimated around $0.12 per dollar spent in the studied setting.",Incentive-compatible online experiment
shao_2018_social_bots,The spread of low-credibility content by social bots,Chengcheng Shao et al.,2018,https://www.nature.com/articles/s41467-018-06930-7,Bots can play a disproportionate role in early amplification and humans reshare bot-posted content.,"Analysis of 14 million messages and 400,000 articles found bots amplified low-credibility content early before virality.",Large-scale observational network analysis
granovetter_1978_thresholds,Threshold Models of Collective Behavior,Mark Granovetter,1978,https://sociology.stanford.edu/publications/threshold-models-collective-behavior,Collective outcomes can change sharply when visible participation crosses individual thresholds.,Threshold distributions determine equilibrium participation; similar average preferences can produce different aggregate outcomes.,Mathematical sociology model
watts_2002_global_cascades,A simple model of global cascades on random networks,Duncan J. Watts,2002,https://pmc.ncbi.nlm.nih.gov/articles/PMC122850/,Small shocks can trigger rare large cascades in threshold networks under certain structural conditions.,The model identifies regimes where networks are susceptible to rare global cascades triggered by small shocks.,Mathematical network model
yang_2021_shilling_attacks,A genre trust model for defending shilling attacks in recommender systems,"Li Yang, Xinxin Niu",2021,https://link.springer.com/article/10.1007/s40747-021-00357-2,Profile-injection/shilling attacks manipulate recommender systems by pushing or nuking target items.,Describes shilling attack profiles and push/nuke attack logic against collaborative filtering systems.,Recommender-system security research
zhang_2024_shilling_detection,Unsupervised contaminated user profile identification against shilling attack in recommender system,Fei Zhang et al.,2024,https://journals.sagepub.com/doi/10.3233/IDA-230575,Recommender systems remain susceptible to carefully crafted profile injection attacks.,"Proposes unsupervised profile-identification methods for attack profiles, including standard and obfuscated behaviour attacks.",Detection-method research
wu_davison_2005_link_farms,Identifying link farm spam pages,"Baoning Wu, Brian D. Davison",2005,https://www.researchgate.net/publication/200110931_Identifying_link_farm_spam_pages,Link farms can deteriorate link-based ranking algorithms and can be detected through graph structure.,Proposes algorithms for detecting link farms and improving ranking results through reweighted web graphs.,Search-spam detection research
