post_id,account_id,content_id,content_family,timestamp,caption,hashtags,action_type
p_00042,organic_006,topic_049,organic,2026-04-01T09:35:00,"Not sure I agree, but worth reading.",#research,post
p_00173,organic_024,topic_021,organic,2026-04-01T09:43:00,"Not sure I agree, but worth reading.",#ai,post
p_00449,alpha_010,alpha_asset_01,alpha_campaign,2026-04-01T10:00:01,Everyone is talking about this clip.,#trend #creator #viral,post
p_00445,alpha_006,alpha_asset_01,alpha_campaign,2026-04-01T10:00:06,Everyone is talking about this clip.,#trend #creator #viral,post
p_00441,alpha_002,alpha_asset_01,alpha_campaign,2026-04-01T10:00:11,This moment explains the whole story.,#trend #creator #viral,post
p_00443,alpha_004,alpha_asset_01,alpha_campaign,2026-04-01T10:00:30,This is suddenly everywhere.,#trend #creator #viral,post
p_00451,alpha_012,alpha_asset_01,alpha_campaign,2026-04-01T10:00:33,How is nobody discussing this yet?,#trend #creator #viral,post
p_00448,alpha_009,alpha_asset_01,alpha_campaign,2026-04-01T10:00:36,This changed how I see the creator.,#trend #creator #viral,post
p_00446,alpha_007,alpha_asset_01,alpha_campaign,2026-04-01T10:00:36,This moment explains the whole story.,#trend #creator #viral,post
p_00450,alpha_011,alpha_asset_01,alpha_campaign,2026-04-01T10:00:55,This is suddenly everywhere.,#trend #creator #viral,post
p_00440,alpha_001,alpha_asset_01,alpha_campaign,2026-04-01T10:01:03,Everyone is talking about this clip.,#trend #creator #viral,post
p_00442,alpha_003,alpha_asset_01,alpha_campaign,2026-04-01T10:01:04,This moment explains the whole story.,#trend #creator #viral,post
p_00444,alpha_005,alpha_asset_01,alpha_campaign,2026-04-01T10:01:14,How is nobody discussing this yet?,#trend #creator #viral,post
p_00447,alpha_008,alpha_asset_01,alpha_campaign,2026-04-01T10:01:16,This moment explains the whole story.,#trend #creator #viral,post
p_00100,organic_015,topic_089,organic,2026-04-01T10:30:00,Interesting take on this.,#media,post
p_00308,organic_042,topic_016,organic,2026-04-01T11:06:00,"Not sure I agree, but worth reading.",#research #media,post
p_00621,beta_003,beta_asset_01,beta_campaign,2026-04-01T12:01:32,This tool is getting attention.,#startup #launch,post
p_00625,beta_008,beta_asset_01,beta_campaign,2026-04-01T12:02:58,Worth a look.,#startup #launch,post
p_00623,beta_006,beta_asset_01,beta_campaign,2026-04-01T12:03:13,This is underrated.,#startup #launch,post
p_00622,beta_004,beta_asset_01,beta_campaign,2026-04-01T12:03:35,I keep seeing this launch.,#startup #launch,post
p_00620,beta_002,beta_asset_01,beta_campaign,2026-04-01T12:04:01,Worth a look.,#startup #launch,post
p_00626,beta_009,beta_asset_01,beta_campaign,2026-04-01T12:04:35,This is underrated.,#startup #launch,post
p_00624,beta_007,beta_asset_01,beta_campaign,2026-04-01T12:04:36,This tool is getting attention.,#startup #launch,post
p_00199,organic_027,topic_071,organic,2026-04-01T12:44:00,Useful context here.,#tech,post
p_00159,organic_022,topic_039,organic,2026-04-01T12:51:00,Useful context here.,,post
p_00149,organic_021,topic_058,organic,2026-04-01T13:42:00,Interesting take on this.,#media,post
p_00126,organic_018,topic_061,organic,2026-04-01T14:17:00,Useful context here.,,post
p_00376,organic_052,topic_071,organic,2026-04-01T14:33:00,"Not sure I agree, but worth reading.",#tech,post
p_00313,organic_043,topic_052,organic,2026-04-01T14:41:00,This reminded me of a discussion yesterday.,,post
p_00096,organic_014,topic_019,organic,2026-04-01T15:40:00,Interesting take on this.,,post
p_00266,organic_036,topic_015,organic,2026-04-01T16:02:00,Sharing for later.,,post
p_00184,organic_025,topic_033,organic,2026-04-01T16:03:00,Interesting take on this.,,post
