ID,Category,Idea / Hypothesis,What to try,Mechanism to test,Expected direction,Failure mode,Minimum viable experiment,Primary metrics,Evidence grade,Priority,Source IDs,Status
H001,Semantic / Compression,Semantic Compression Captions,Rewrite spoken sentences into shortest meaning-preserving phrases.,Reduces verbal load while preserving gist.,Better gist/action recall than full transcript overlays.,Over-compression makes captions cryptic.,Full transcript vs semantic compression on same clip.,Gist recall; action recall; perceived effort,Strong adjacent,P0,S06; S07; S09; S10; S27,Backlog
H002,Semantic / Compression,Proposition Extraction Overlay,Show the underlying claim rather than the literal words.,Lets viewer process mental model instead of syntax.,"Higher main-point recall, especially muted.",May distort nuance if proposition is wrong.,Human-coded propositions vs transcript overlay.,Main point accuracy; distortion errors,Moderate adjacent,P0,S06; S07; S09; S10; S27,Backlog
H003,Semantic / Compression,Operator-First Captioning,"Begin overlay with logical operator: Not, Stop, Less, First, Then.",Reveals relation before content; supports phrase structure.,Better contrast recall than keyword-only captions.,Too many operators feel formulaic.,Keyword-only vs Not-X/Y microphrases.,Contrast recall; completion rate,Moderate adjacent,P0,S06; S07; S09; S10; S27,Backlog
H004,Semantic / Compression,Contrast Pair Cards,"Use two-line contrasts: Not X / Y, Stop X / Start Y.",Uses binary structure to reduce interpretation cost.,Strong for myth-busting and advice content.,Can oversimplify complex claims.,Contrast pair vs normal sentence.,Gist recall; save rate,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H005,Semantic / Compression,Problem–Cause–Fix Beat Cards,"Display three labels across the clip: Problem, Cause, Fix.",Externalizes structure and reduces working-memory demand.,Better action recall for educational clips.,Can feel like a slide deck if overused.,Same explainer with/without beat labels.,Action recall; perceived structure,Strong adjacent,P0,S06; S07; S09; S10; S27,Backlog
H006,Semantic / Compression,Rule–Example–Nonexample Captions,"Show a rule, a good example, then a wrong example.",Creates classification boundaries.,Better transfer to new examples.,Too slow for very short clips.,Learning clip with rule-only vs rule-example-nonexample.,Transfer question; completion,Moderate adjacent,P2,S06; S07; S09; S10; S27,Backlog
H007,Semantic / Compression,Claim–Evidence–Payoff Overlay,"Label claim, proof, and takeaway as separate beats.",Helps viewers trust and encode the argument.,Higher credibility and save rate.,May reduce emotional flow.,Advice clip with claim/payoff labels vs no labels.,Credibility rating; saves,Moderate adjacent,P2,S06; S07; S09; S10; S27,Backlog
H008,Semantic / Compression,Takeaway-First Overlay,"Show the final point in the first second, then explain.",Reduces uncertainty and raises reward prediction.,Better 3-second hold for educational clips.,May spoil suspense or jokes.,Hook-first vs takeaway-first variants.,1s/3s hold; completion,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H009,Semantic / Compression,Action-Only Overlay,"For advice clips, show only the next action, not explanation.",Turns passive consumption into instruction.,Higher action recall and saves.,Weak context if viewer misses why.,Action-only vs explanation captions.,Action recall; saves,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H010,Semantic / Compression,Memory Object Captions,"End with a short, repeatable phrase: Systems beat mood.",Creates a verbal chunk for later recall.,Higher delayed recall.,Can become cliché or inaccurate.,With/without end memory phrase.,Delayed recall; shares,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H011,Semantic / Compression,Minimal Verb Captioning,Preserve verbs over nouns when showing fewer words.,Actions drive what to do next.,Better instruction recall.,May lose conceptual nuance.,Verb-heavy vs noun-heavy compression.,Action recall,Speculative / direct test needed,P2,S06; S07; S09; S10; S27,Backlog
H012,Semantic / Compression,Semantic Breadcrumb Trail,Display one small concept per beat that accumulates meaning.,Supports continuity without sentence blocks.,Better follow-through in 45–90s clips.,Too many breadcrumbs distract.,Breadcrumb vs independent captions.,Sequence recall; effort rating,Moderate adjacent,P2,S06; S07; S09; S10; S27,Backlog
H013,Semantic / Compression,Concept Ladder Captions,Move from concrete to abstract: shoes → start → habit.,Builds schema progressively.,Better novice comprehension.,Experts may find it slow.,Beginner viewers: ladder vs direct concept.,Novice gist recall,Moderate adjacent,P2,S06; S07; S09; S10; S27,Backlog
H014,Semantic / Compression,Compression Ratio Ladder,"Test 100%, 60%, 30%, 15%, and 5% transcript equivalents.",Finds minimum viable text.,Identifies optimal text density by content type.,Too low loses context; too high overloads.,Same clip at multiple compression ratios.,Gist recall; text dwell; effort,Strong adjacent,P0,S06; S07; S09; S10; S27,Backlog
H015,Semantic / Compression,Keyword-to-Microphrase Conversion,Convert isolated keywords into 2–4 word phrase chunks.,Keeps syntax while staying sparse.,Better than keyword-only overlays.,Slightly more text may hurt visual recall.,Keywords vs microphrases.,Gist recall; visual recall,Moderate adjacent,P1,S06; S07; S09; S10; S27,Backlog
H016,Semantic / Compression,"One Idea, One Screen Rule",Never show two unrelated ideas in one overlay event.,Respects working-memory limits.,Lower effort and better sequence recall.,Too many rapid swaps if script is dense.,Multi-idea vs one-idea overlay.,Effort; sequence recall,Strong adjacent,P0,S06; S07; S09; S10; S27,Backlog
