id,legacy_id,formal_code,scientific_name,family_code,family,genus,species,area,hypothesis,primary_metric,metric_code,suggested_method,source
H001,H1,AVT-SEA-QUAE-001,*Quaeribilitas quaesitiva* var. h001-topic-beats-broad,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,A. Classification and search,Specific topic beats broad topic.,"search traffic, saves",SAV,M-SGA,v3/04_Experiments/hypothesis_register.md
H002,H2,AVT-SEA-CAPT-002,*Quaeribilitas captionis* var. h002-keyword-alignment-across,SEA,Search / long-tail demand,Quaeribilitas,captionis,A. Classification and search,"Keyword alignment across speech, caption, overlay, and title improves discovery.","search impressions, long-tail views",SEA,M-SGA,v3/04_Experiments/hypothesis_register.md
H003,H3,AVT-SEA-QUAE-003,*Quaeribilitas quaesitiva* var. h003-narrow-audience-callout,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,A. Classification and search,Narrow audience callout improves first retention.,3-sec retention,EHR,M-SGA,v3/04_Experiments/hypothesis_register.md
H004,H4,AVT-SEA-QUAE-004,*Quaeribilitas quaesitiva* var. h004-search-backed-topics,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,A. Classification and search,Search-backed topics create longer tails than trend-backed topics.,7d/30d views,SEA,M-SGA,v3/04_Experiments/hypothesis_register.md
H005,H5,AVT-SEA-QUAE-005,*Quaeribilitas quaesitiva* var. h005-should-searchable-promise,SEA,Search / long-tail demand,Quaeribilitas,quaesitiva,A. Classification and search,One video should have one searchable promise.,"average % viewed, search traffic",RET,M-SGA,v3/04_Experiments/hypothesis_register.md
H006,H6,AVT-MED-QUAE-006,*Mediagrammatica quaesitiva* var. h006-native-terminology-improves,MED,Platform grammar,Mediagrammatica,quaesitiva,A. Classification and search,Platform-native terminology improves relevance.,"search traffic, saves",SAV,M-CST,v3/04_Experiments/hypothesis_register.md
H007,H7,AVT-ATT-PRIM-007,*Salientia primafacialis* var. h007-result-frame-beats,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Result-first frame beats context-first frame.,chose-to-view,CTV,M-MPT,v3/04_Experiments/hypothesis_register.md
H008,H8,AVT-ATT-PRIM-008,*Salientia primafacialis* var. h008-before-after-split,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Before/after split beats talking-head open for tutorial content.,early retention,EHR,M-MPT,v3/04_Experiments/hypothesis_register.md
H009,H9,AVT-ATT-PRIM-009,*Salientia primafacialis* var. h009-early-face-improves,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Early face improves trust for small creators.,"profile clicks, follows",EHR,M-MPT,v3/04_Experiments/hypothesis_register.md
H010,H10,AVT-ATT-PRIM-010,*Salientia primafacialis* var. h010-moderate-face-presence,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Moderate face presence beats face-only content.,"avg watch, saves",RET,M-MPT,v3/04_Experiments/hypothesis_register.md
H011,H11,AVT-ATT-PRIM-011,*Salientia primafacialis* var. h011-motion-reduces-static,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Motion in the first 0.5s reduces static-feed blindness.,swipe-away rate,CTV,M-MPT,v3/04_Experiments/hypothesis_register.md
H012,H12,AVT-ATT-PRIM-012,*Salientia primafacialis* var. h012-visible-mistake-problem,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Visible mistake/problem beats abstract claim.,early retention,EHR,M-MPT,v3/04_Experiments/hypothesis_register.md
H013,H13,AVT-ATT-PRIM-013,*Salientia primafacialis* var. h013-data-proof-screenshot,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,Data/proof screenshot improves authority but may reduce mass appeal.,"saves, follows",SAV,M-MPT,v3/04_Experiments/hypothesis_register.md
H014,H14,AVT-ATT-PRIM-014,*Salientia primafacialis* var. h014-frame-clutter-increases,ATT,Attention / first-frame salience,Salientia,primafacialis,B. First frame and scroll stop,First-frame clutter increases skips.,1-sec drop-off,MIX,M-MPT,v3/04_Experiments/hypothesis_register.md
H015,H15,AVT-TEN-UNCU-015,*Tensio uncus* var. h015-problem-hooks-beat,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Problem-first hooks beat neutral educational hooks.,3-sec hold,EHR,M-SVT,v3/04_Experiments/hypothesis_register.md
H016,H16,AVT-TEN-UNCU-016,*Tensio uncus* var. h016-contrarian-hooks-increase,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Contrarian hooks increase comments but can reduce trust if payoff is weak.,"comments, completion",RET,M-SVT,v3/04_Experiments/hypothesis_register.md
H017,H17,AVT-TEN-UNCU-017,*Tensio uncus* var. h017-proof-hooks-improve,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Proof-first hooks improve saves and follows.,"saves, follows",SAV,M-SVT,v3/04_Experiments/hypothesis_register.md
H018,H18,AVT-TEN-UNCU-018,*Tensio uncus* var. h018-curiosity-hooks-improve,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Curiosity hooks improve completion only when payoff is visible.,completion,RET,M-SVT,v3/04_Experiments/hypothesis_register.md
H019,H19,AVT-TEN-UNCU-019,*Tensio uncus* var. h019-identity-hooks-improve,TEN,Hook tension / information gap,Tensio,uncus,C. Hooks,Identity hooks improve shares.,sends/shares,SND,M-SVT,v3/04_Experiments/hypothesis_register.md
